,date,open,high,low,close,volume
2413,2022-02-04 11:58:00+05:30,3802.9,3804.85,3802.2,3803.3,3890
2414,2022-02-04 11:59:00+05:30,3803.3,3803.8,3800.9,3801.9,2708
2415,2022-02-04 12:00:00+05:30,3801.6,3801.9,3800.85,3801.05,2315
2416,2022-02-04 12:01:00+05:30,3801.7,3801.7,3800.25,3800.25,1862
2417,2022-02-04 12:02:00+05:30,3800.85,3801.7,3800.0,3800.85,2339
2418,2022-02-04 12:03:00+05:30,3800.85,3800.85,3800.0,3800.0,2659
2419,2022-02-04 12:04:00+05:30,3800.0,3801.8,3800.0,3800.45,2040
2420,2022-02-04 12:05:00+05:30,3800.45,3800.45,3800.0,3800.15,2611
2421,2022-02-04 12:06:00+05:30,3800.15,3802.2,3800.15,3802.05,2831
2422,2022-02-04 12:07:00+05:30,3802.05,3802.75,3800.8,3801.3,2153
2423,2022-02-04 12:08:00+05:30,3801.3,3802.75,3800.0,3802.65,2906
2424,2022-02-04 12:09:00+05:30,3802.65,3803.75,3801.9,3803.5,2434
2425,2022-02-04 12:10:00+05:30,3803.5,3803.55,3802.6,3803.15,2863
2426,2022-02-04 12:11:00+05:30,3803.3,3803.35,3799.0,3799.9,5948
2427,2022-02-04 12:12:00+05:30,3799.9,3799.9,3798.55,3798.9,3218
2428,2022-02-04 12:13:00+05:30,3798.9,3800.75,3798.4,3799.0,3798
2429,2022-02-04 12:14:00+05:30,3799.0,3800.8,3799.0,3799.85,3466
2430,2022-02-04 12:15:00+05:30,3799.85,3799.95,3798.0,3799.85,2419
2431,2022-02-04 12:16:00+05:30,3799.85,3800.5,3798.65,3799.45,3220
2432,2022-02-04 12:17:00+05:30,3798.95,3799.45,3796.2,3796.2,7105
2433,2022-02-04 12:18:00+05:30,3797.55,3798.25,3796.05,3797.4,2871
2434,2022-02-04 12:19:00+05:30,3797.4,3797.4,3795.6,3796.4,2740
2435,2022-02-04 12:20:00+05:30,3795.5,3796.85,3795.0,3795.2,3589
2436,2022-02-04 12:21:00+05:30,3795.0,3795.2,3791.05,3792.0,10050
2437,2022-02-04 12:22:00+05:30,3792.0,3795.0,3791.6,3792.5,4099
2438,2022-02-04 12:23:00+05:30,3792.55,3794.5,3792.0,3793.65,7594
2439,2022-02-04 12:24:00+05:30,3793.65,3794.35,3792.1,3792.9,2515
2440,2022-02-04 12:25:00+05:30,3792.9,3793.75,3792.0,3793.0,4671
2441,2022-02-04 12:26:00+05:30,3793.65,3793.8,3792.0,3792.45,2637
2442,2022-02-04 12:27:00+05:30,3792.95,3796.0,3792.1,3795.2,2335
2443,2022-02-04 12:28:00+05:30,3795.0,3798.4,3794.7,3796.15,5289
2444,2022-02-04 12:29:00+05:30,3796.15,3797.0,3795.0,3796.35,2530
2445,2022-02-04 12:30:00+05:30,3796.05,3796.35,3794.3,3795.4,2069
2446,2022-02-04 12:31:00+05:30,3795.4,3796.55,3794.4,3796.3,4738
2447,2022-02-04 12:32:00+05:30,3796.3,3796.95,3795.25,3796.3,3539
2448,2022-02-04 12:33:00+05:30,3797.0,3797.9,3795.0,3795.7,3874
2449,2022-02-04 12:34:00+05:30,3795.0,3796.95,3795.0,3796.45,3366
2450,2022-02-04 12:35:00+05:30,3796.45,3796.45,3793.2,3793.95,3644
2451,2022-02-04 12:36:00+05:30,3796.55,3796.55,3793.15,3794.0,4993
2452,2022-02-04 12:37:00+05:30,3794.0,3794.75,3793.3,3794.0,4201
2453,2022-02-04 12:38:00+05:30,3794.3,3795.75,3793.0,3794.0,4927
2454,2022-02-04 12:39:00+05:30,3794.05,3796.6,3793.55,3796.05,4166
2455,2022-02-04 12:40:00+05:30,3796.05,3796.15,3794.1,3794.1,2274
2456,2022-02-04 12:41:00+05:30,3795.05,3795.85,3794.05,3795.0,2189
2457,2022-02-04 12:42:00+05:30,3794.6,3797.85,3794.5,3795.45,5274
2458,2022-02-04 12:43:00+05:30,3796.95,3797.2,3796.0,3797.0,3743
2459,2022-02-04 12:44:00+05:30,3797.0,3797.6,3796.0,3796.15,2709
2460,2022-02-04 12:45:00+05:30,3796.85,3796.95,3795.65,3796.7,2837
2461,2022-02-04 12:46:00+05:30,3796.65,3798.0,3796.6,3797.85,3380
2462,2022-02-04 12:47:00+05:30,3797.7,3797.7,3796.1,3796.1,1593
2463,2022-02-04 12:48:00+05:30,3797.1,3797.9,3796.0,3797.8,2292
2464,2022-02-04 12:49:00+05:30,3797.8,3797.8,3796.9,3797.0,2144
2465,2022-02-04 12:50:00+05:30,3797.0,3797.5,3795.55,3796.9,1534
2466,2022-02-04 12:51:00+05:30,3796.95,3797.15,3795.65,3796.7,1917
2467,2022-02-04 12:52:00+05:30,3796.65,3797.75,3795.6,3797.5,1814
2468,2022-02-04 12:53:00+05:30,3797.5,3799.7,3796.1,3799.25,3195
2469,2022-02-04 12:54:00+05:30,3799.25,3800.0,3795.0,3796.6,4645
2470,2022-02-04 12:55:00+05:30,3796.6,3799.8,3795.7,3798.05,2288
2471,2022-02-04 12:56:00+05:30,3798.05,3800.0,3796.8,3799.8,2895
2472,2022-02-04 12:57:00+05:30,3799.8,3801.35,3798.9,3800.0,4278
2473,2022-02-04 12:58:00+05:30,3800.65,3800.65,3797.4,3797.4,2160
2474,2022-02-04 12:59:00+05:30,3798.65,3799.6,3796.75,3798.8,2537
2475,2022-02-04 13:00:00+05:30,3797.6,3799.0,3796.0,3796.0,3020
2476,2022-02-04 13:01:00+05:30,3796.0,3798.0,3795.0,3795.55,3214
2477,2022-02-04 13:02:00+05:30,3795.75,3797.5,3795.1,3795.25,2217
2478,2022-02-04 13:03:00+05:30,3795.55,3800.0,3795.55,3799.55,7097
2479,2022-02-04 13:04:00+05:30,3799.55,3802.1,3798.25,3798.7,7498
2480,2022-02-04 13:05:00+05:30,3798.95,3800.05,3797.4,3798.0,2696
2481,2022-02-04 13:06:00+05:30,3798.95,3799.0,3795.0,3797.3,4047
2482,2022-02-04 13:07:00+05:30,3796.1,3800.0,3795.0,3800.0,3055
2483,2022-02-04 13:08:00+05:30,3799.85,3800.0,3797.05,3797.85,3057
2484,2022-02-04 13:09:00+05:30,3799.45,3799.95,3796.9,3797.25,2502
2485,2022-02-04 13:10:00+05:30,3798.25,3798.6,3796.0,3796.55,3159
2486,2022-02-04 13:11:00+05:30,3796.55,3800.0,3796.35,3799.1,3447
2487,2022-02-04 13:12:00+05:30,3799.85,3800.55,3795.1,3796.55,5721
2488,2022-02-04 13:13:00+05:30,3796.75,3800.0,3796.15,3797.65,2270
2489,2022-02-04 13:14:00+05:30,3799.0,3799.45,3795.5,3795.5,3936
2490,2022-02-04 13:15:00+05:30,3797.05,3800.0,3796.95,3800.0,3243
2491,2022-02-04 13:16:00+05:30,3800.0,3800.7,3796.45,3798.95,8130
2492,2022-02-04 13:17:00+05:30,3799.8,3802.05,3799.1,3802.05,7003
2493,2022-02-04 13:18:00+05:30,3801.15,3801.15,3798.05,3800.0,6440
2494,2022-02-04 13:19:00+05:30,3800.1,3801.2,3798.1,3799.05,5611
2495,2022-02-04 13:20:00+05:30,3800.5,3801.75,3799.0,3799.5,3979
2496,2022-02-04 13:21:00+05:30,3800.95,3801.5,3798.1,3799.3,6114
2497,2022-02-04 13:22:00+05:30,3799.3,3800.0,3798.5,3799.8,2282
2498,2022-02-04 13:23:00+05:30,3799.8,3801.5,3799.15,3800.65,5056
2499,2022-02-04 13:24:00+05:30,3800.65,3801.0,3799.0,3800.75,3923
2500,2022-02-04 13:25:00+05:30,3800.65,3800.85,3799.4,3800.7,2969
2501,2022-02-04 13:26:00+05:30,3800.7,3807.15,3800.7,3806.65,7980
2502,2022-02-04 13:27:00+05:30,3806.7,3806.8,3800.25,3801.85,6259
2503,2022-02-04 13:28:00+05:30,3801.85,3803.15,3800.65,3801.05,4788
2504,2022-02-04 13:29:00+05:30,3801.0,3804.15,3800.5,3801.85,4605
2505,2022-02-04 13:30:00+05:30,3801.85,3806.0,3801.85,3805.4,4928
2506,2022-02-04 13:31:00+05:30,3805.4,3805.6,3803.55,3804.8,4633
2507,2022-02-04 13:32:00+05:30,3805.25,3805.25,3801.85,3803.05,3712
2508,2022-02-04 13:33:00+05:30,3803.05,3805.0,3802.8,3804.8,2950
2509,2022-02-04 13:34:00+05:30,3804.8,3805.0,3802.9,3804.0,4377
2510,2022-02-04 13:35:00+05:30,3804.0,3804.9,3801.65,3803.4,2958
2511,2022-02-04 13:36:00+05:30,3803.4,3804.5,3801.9,3803.9,2435
2512,2022-02-04 13:37:00+05:30,3803.9,3804.5,3801.35,3802.85,3562
2513,2022-02-04 13:38:00+05:30,3802.85,3802.85,3800.05,3800.65,2495
2514,2022-02-04 13:39:00+05:30,3800.65,3801.4,3800.0,3800.5,2693
2515,2022-02-04 13:40:00+05:30,3800.5,3801.65,3800.0,3801.3,3707
2516,2022-02-04 13:41:00+05:30,3801.1,3803.15,3800.2,3800.65,3647
2517,2022-02-04 13:42:00+05:30,3800.65,3800.9,3798.1,3798.1,5576
2518,2022-02-04 13:43:00+05:30,3798.1,3800.85,3797.0,3800.0,5120
2519,2022-02-04 13:44:00+05:30,3800.1,3802.35,3800.05,3800.7,3269
2520,2022-02-04 13:45:00+05:30,3800.7,3802.0,3800.0,3800.85,4117
2521,2022-02-04 13:46:00+05:30,3801.0,3802.8,3800.2,3802.0,4141
2522,2022-02-04 13:47:00+05:30,3802.0,3804.0,3801.0,3803.95,3865
2523,2022-02-04 13:48:00+05:30,3803.95,3808.9,3803.95,3808.9,11165
2524,2022-02-04 13:49:00+05:30,3809.45,3810.2,3807.2,3807.8,10799
2525,2022-02-04 13:50:00+05:30,3807.8,3807.8,3805.35,3807.65,4045
2526,2022-02-04 13:51:00+05:30,3807.65,3808.8,3805.9,3807.0,3933
2527,2022-02-04 13:52:00+05:30,3807.0,3809.45,3807.0,3809.45,4781
2528,2022-02-04 13:53:00+05:30,3809.45,3810.0,3808.75,3809.45,3358
2529,2022-02-04 13:54:00+05:30,3809.45,3809.8,3807.0,3807.65,3125
2530,2022-02-04 13:55:00+05:30,3807.65,3807.65,3805.7,3806.8,3097
2531,2022-02-04 13:56:00+05:30,3806.95,3809.5,3806.8,3808.0,5222
2532,2022-02-04 13:57:00+05:30,3808.55,3808.9,3807.05,3808.6,2174
2533,2022-02-04 13:58:00+05:30,3808.6,3809.5,3807.7,3809.45,3985
2534,2022-02-04 13:59:00+05:30,3809.45,3809.45,3806.65,3808.8,2170
2535,2022-02-04 14:00:00+05:30,3808.8,3810.0,3808.0,3809.95,3143
2536,2022-02-04 14:01:00+05:30,3810.4,3811.0,3807.75,3810.2,5148
2537,2022-02-04 14:02:00+05:30,3810.25,3810.5,3809.0,3810.2,3473
2538,2022-02-04 14:03:00+05:30,3810.2,3813.0,3809.0,3811.0,6849
2539,2022-02-04 14:04:00+05:30,3812.6,3812.9,3810.7,3812.3,3706
2540,2022-02-04 14:05:00+05:30,3812.25,3813.35,3811.0,3812.85,6019
2541,2022-02-04 14:06:00+05:30,3812.85,3812.85,3808.0,3809.8,5530
2542,2022-02-04 14:07:00+05:30,3809.75,3809.85,3806.1,3809.1,11234
2543,2022-02-04 14:08:00+05:30,3809.1,3812.7,3808.4,3810.55,5228
2544,2022-02-04 14:09:00+05:30,3810.95,3812.0,3810.0,3810.45,3073
2545,2022-02-04 14:10:00+05:30,3811.0,3812.75,3810.45,3811.45,4502
2546,2022-02-04 14:11:00+05:30,3812.2,3813.7,3811.0,3812.95,4459
2547,2022-02-04 14:12:00+05:30,3813.0,3813.0,3811.3,3812.0,7260
2548,2022-02-04 14:13:00+05:30,3812.75,3813.45,3812.0,3813.35,4345
2549,2022-02-04 14:14:00+05:30,3813.7,3817.65,3813.0,3817.0,7476
2550,2022-02-04 14:15:00+05:30,3817.2,3819.0,3815.05,3816.7,7289
2551,2022-02-04 14:16:00+05:30,3817.8,3817.8,3815.25,3816.0,3350
2552,2022-02-04 14:17:00+05:30,3816.0,3816.65,3815.6,3816.0,2738
2553,2022-02-04 14:18:00+05:30,3815.6,3816.4,3815.0,3815.95,3673
2554,2022-02-04 14:19:00+05:30,3815.95,3816.4,3815.0,3816.35,4569
2555,2022-02-04 14:20:00+05:30,3816.4,3817.7,3813.3,3815.75,4893
2556,2022-02-04 14:21:00+05:30,3815.9,3816.7,3810.7,3813.05,6093
